epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,932.692,0.35213,0.36394,0.90234,0.96217,0.93151,0.98818,0.87214,0.61379,0.43245,1.00352,6.38115e-05,6.38115e-05,6.38115e-05
64,947.164,0.3721,0.35101,0.89548,0.90086,0.99581,0.98506,0.86236,0.62805,0.44085,1.01546,6.28101e-05,6.28101e-05,6.28101e-05
65,961.209,0.398,0.38983,0.90961,0.90026,0.9863,0.97729,0.83605,0.65636,0.46888,1.01669,6.18034e-05,6.18034e-05,6.18034e-05
66,976.782,0.37382,0.3803,0.90576,0.94439,0.9726,0.98679,0.85278,0.64298,0.44258,1.00173,6.07916e-05,6.07916e-05,6.07916e-05
67,990.737,0.36553,0.36135,0.90665,0.93964,0.9863,0.98578,0.84131,0.64575,0.44157,1.01611,5.97754e-05,5.97754e-05,5.97754e-05
68,1004.88,0.37467,0.38092,0.89944,0.90114,0.99891,0.97705,0.82447,0.64114,0.47549,1.04335,5.87551e-05,5.87551e-05,5.87551e-05
69,1019.41,0.36165,0.3704,0.89754,0.90017,1,0.96794,0.80978,0.63275,0.4915,1.03614,5.77311e-05,5.77311e-05,5.77311e-05
70,1034.11,0.34504,0.39352,0.90237,0.90846,0.9863,0.96732,0.83083,0.62519,0.47674,1.0291,5.6704e-05,5.6704e-05,5.6704e-05
71,1048.8,0.33265,0.36056,0.89923,0.91236,0.99832,0.96442,0.82929,0.62173,0.47903,1.02985,5.56742e-05,5.56742e-05,5.56742e-05
72,1063.48,0.3783,0.37101,0.92434,0.91242,0.99898,0.96945,0.82863,0.62997,0.47252,1.06251,5.46421e-05,5.46421e-05,5.46421e-05
73,1077.77,0.33523,0.34308,0.89354,0.90079,1,0.98042,0.8388,0.64313,0.45054,1.08312,5.36081e-05,5.36081e-05,5.36081e-05
74,1092.27,0.36158,0.37063,0.91184,0.93303,0.95431,0.98285,0.84648,0.64634,0.45861,1.09156,5.25728e-05,5.25728e-05,5.25728e-05
75,1107.91,0.34675,0.35363,0.9043,0.91019,0.97185,0.98478,0.84278,0.64933,0.45089,1.09032,5.15366e-05,5.15366e-05,5.15366e-05
76,1122.75,0.35137,0.35268,0.90855,0.91011,0.97083,0.98691,0.84494,0.65289,0.44936,1.09172,5.05e-05,5.05e-05,5.05e-05
77,1136.88,0.33158,0.34487,0.87912,0.8983,1,0.98807,0.84895,0.64214,0.4688,1.07565,4.94634e-05,4.94634e-05,4.94634e-05
78,1151.69,0.35173,0.36579,0.90651,0.91059,1,0.98327,0.84062,0.63306,0.46826,1.05044,4.84272e-05,4.84272e-05,4.84272e-05
79,1165.75,0.33399,0.34909,0.86658,0.91219,1,0.98608,0.85741,0.61968,0.4403,1.01743,4.73919e-05,4.73919e-05,4.73919e-05
80,1180.92,0.36039,0.38366,0.90549,0.923,1,0.98478,0.85882,0.60416,0.44066,1.00147,4.63579e-05,4.63579e-05,4.63579e-05
81,1195.31,0.33542,0.35159,0.88938,0.93118,1,0.98258,0.85281,0.60409,0.44064,0.99645,4.53258e-05,4.53258e-05,4.53258e-05
82,1209.45,0.37528,0.38174,0.90533,0.94659,0.97112,0.98352,0.85232,0.61772,0.43322,1.02015,4.4296e-05,4.4296e-05,4.4296e-05
83,1223.74,0.3378,0.3657,0.87792,0.90932,1,0.98258,0.85612,0.63407,0.44037,1.04032,4.32689e-05,4.32689e-05,4.32689e-05
84,1238.35,0.3434,0.35633,0.8775,0.91226,0.99703,0.98338,0.85256,0.62766,0.42972,1.0169,4.22449e-05,4.22449e-05,4.22449e-05
85,1252.32,0.38369,0.37527,0.9184,0.9238,0.99641,0.98261,0.85414,0.62599,0.43095,1.01393,4.12246e-05,4.12246e-05,4.12246e-05
